PID,Season,contestant,ChW,ChA,ChW%,SO,VFB,VAP,TotV,TCA,TC%,wTCR,VFT,JVF,TotJ,JV%,SurvSc,SurvAv,Days,Finish,Time,nonVFB,VFB%,nVFB%,NoJ,InRCA,InRCW,InICA,InICW,InChA,InChW,InChW%,TRCA,TRCW,TICA,TICW,TChA,TChW,TChW%,TrCh 2nd,TrCh 3rd,Exile,TVA,VAT%,NI VFT,NI VFT%,Gender,Day 1 Filming date,Age,Hometown,State,Population of Hometown,Profession,Job Code (SOC),Collar,Generation
16,1,Sonja Christopher,0,0.13,0,0,0,4,8,1,-0.5,0,0,0,7,0,-0.5,0,3,16,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0,0,0,0,1,1,0,0,F,3/13/2000,63,Walnut Creek,CA,68910,Gym Teacher / Retired,25-2000,W,Silent
15,1,B.B. Andersen,0.25,0.39,0.64,0,0,6,8,1,-0.75,0,0,0,7,0,-0.11,0.25,6,15,1,1,0,1,0.25,0,0,0,0,0,0,#DIV/0!,1,1,2,1,3,2,0.667,0,0,0,1,1,0,0,M,3/13/2000,64,Mission Hills,KS,3601,Real Estate Developer,Nov-40,W,Silent
14,1,Stacey Stillman,0.29,0.68,0.42,0,0,6,15,2,-0.2,0,0,0,7,0,0.22,0.29,9,14,1,2,0,1,0.29,0,0,0,0,0,0,#DIV/0!,2,1,3,1,5,2,0.4,0,0,0,2,1,0,0,F,3/13/2000,27,San Francisco,CA,864816,Attorney,23-1011,W,X
13,1,Ramona Gray,0.39,0.99,0.4,1,1,6,15,2,0.3,1.4,0,0,7,0,0.7,1.79,12,13,1,1,0.5,0.5,1.79,0,0,0,0,0,0,#DIV/0!,3,1,4,2,7,3,0.429,0,0,0,2,1,0,0,F,3/13/2000,29,Edison,NJ,102548,Biochemist,19-1021,W,X
12,1,Dirk Been,0.62,1.51,0.41,1,2,4,21,3,0.6,2.33,2,0,7,0,1.01,2.95,15,12,1,1,0.67,0.33,2.95,0,0,0,0,0,0,#DIV/0!,4,2,5,2,9,4,0.444,0,0,0,1,0.33,2,0.67,M,3/13/2000,23,Spring Green,WI,1648,Dairy Farmer,10-Nov,B,X
11,1,Joel Klug,0.89,2.07,0.43,1,2,4,21,3,0.6,2.33,2,0,7,0,1.03,3.23,18,11,1,1,0.67,0.33,3.23,0,0,0,0,0,0,#DIV/0!,5,2,6,3,11,5,0.455,0,0,0,1,0.33,2,0.67,M,3/13/2000,27,Sherwood,AR,30517,Health Club Consultant,13-1111,W,X
10,1,Gretchen Cordy,1.23,3.07,0.4,0,3,4,31,4,0.72,2.63,3,0,7,0,1.12,3.85,21,10,1,1,0.75,0.25,3.85,0,0,1,0,1,0,0,5,3,6,3,11,6,0.545,0,0,0,1,0.25,3,0.75,F,3/13/2000,38,Clarksville,TN,166722,Teacher,25-2000,W,Baby Boomer
9,1,Greg Buis,2.56,5.07,0.5,2,1,6,40,5,0.17,0.56,4,0,7,0,0.67,3.12,24,9,1,4,0.2,0.8,3.12,1,1,2,1,3,2,0.67,5,1,6,3,11,4,0.364,0,0,0,1,0.2,2,0.5,M,3/13/2000,24,Gold Hill,CO,195,Ivy League Graduate,54-0000,W,X
8,1,Jenna Lewis,1.23,7.07,0.17,0,4,11,48,6,0.63,1.24,1,0,7,0,0.8,2.47,27,8,1,2,0.67,0.33,2.47,2,0,3,0,5,0,0,5,3,6,3,11,6,0.545,0,0,0,5,0.83,1,0.17,F,3/13/2000,22,Franklin,NH,8450,Student,54-0000,?,X
7,1,Gervase Peterson,2.89,9.07,0.32,2,1,6,55,7,0.13,0.4,5,0,7,0,0.45,3.29,30,7,1,6,0.14,0.86,3.29,3,1,4,1,7,2,0.29,5,2,6,3,11,5,0.455,0,0,0,2,0.29,3,0.5,M,3/13/2000,30,Willingboro,NJ,31668,YMCA Basketball Coach,27-2022,N,X
6,1,Colleen Haskell,2.56,12.07,0.21,3,3,7,61,8,0.36,0.95,5,0,7,0,0.57,3.51,33,6,1,5,0.38,0.63,3.51,5,2,5,0,10,2,0.2,5,1,6,3,11,4,0.364,0,0,0,3,0.38,3,0.38,F,3/13/2000,23,Miami Beach,FL,92312,Student,54-0000,?,X
5,1,Sean Keniff,1.87,14.1,0.13,0,6,9,66,9,0.65,1.44,5,0,7,0,0.78,3.3,36,5,1,3,0.67,0.33,3.3,6,1,6,0,12,1,0.08,5,2,6,3,11,5,0.455,0,0,0,4,0.44,4,0.44,M,3/13/2000,30,Carle Place,NY,4981,Neurologist,29-1217,W,X
4,1,Sue Hawk,0.87,15.1,0.06,0,9,5,70,10,0.89,2.8,6,0,7,0,0.95,3.67,37,4,1,1,0.9,0.1,3.67,6,0,7,0,13,0,0,5,2,6,3,11,5,0.455,0,0,0,4,0.4,6,0.6,F,3/13/2000,38,Palmyra,WI,1776,Truck Driver,53-3032,B,Baby Boomer
3,1,Rudy Boesch,1.62,16.1,0.1,3,10,8,73,11,0.9,2.12,6,0,7,0,1,3.74,38,3,1,1,0.91,0.09,3.74,6,0,8,1,14,1,0.07,5,2,6,2,11,4,0.364,0,0,0,5,0.45,5,0.5,M,3/13/2000,72,Virginia Beach,VA,452745,Retired NAVY Seal,55-3018,B,Silent
2,1,Kelly Wiglesworth,5.87,16.1,0.36,2,6,0,73,11,0.55,3.82,11,3,7,0.428571429,1.34,12.26,39,2,1,5,0.55,0.45,9.69,6,1,8,4,14,5,0.36,5,2,6,3,11,5,0.455,0,0,0,0,0,6,0.86,F,3/13/2000,22,Kernville,CA,1395,River Rafting Guide,39-7012,N,X
1,1,Richard Hatch,1.87,16.1,0.12,0,10,6,73,11,0.9,2.55,7,4,7,0.571428571,1.59,7.84,39,1,1,1,0.91,0.09,4.41,6,0,8,1,14,1,0.07,5,2,6,3,11,5,0.455,0,0,0,4,0.36,6,0.6,M,3/13/2000,39,Newport,RI,24232,Corporate Trainer,13-1151,W,Baby Boomer
32,2,Debb Eaton,0,0.13,0,0,0,7,8,1,-0.88,0,0,0,7,0,-0.88,0,3,16,1,1,0,1,0,0,0,0,0,0,0,#DIV/0!,0,0,1,0,1,0,0,0,0,0,1,1,0,0,F,10/23/2000,45,Milan,NH,1418,Corrections Officer,33-3012,B,Baby Boomer
31,2,Kel Gleason,0.25,0.38,0.67,0,0,7,8,1,-0.88,0,0,0,7,0,-0.21,0.25,6,15,1,1,0,1,0.25,0,0,0,0,0,0,#DIV/0!,1,1,2,1,3,2,0.667,0,0,0,1,1,0,0,M,10/23/2000,32,Fort Hood,TX,29589,Army Intelligence Officer,55-1019,W,X
30,2,Maralyn Hershey,0.39,0.66,0.59,0,1,5,15,2,0.33,1.56,1,0,7,0,0.93,1.95,9,14,1,1,0.5,0.5,1.95,0,0,0,0,0,0,#DIV/0!,2,2,3,1,5,3,0.6,0,0,0,2,1,0,0,F,10/23/2000,51,Wakefield,VA,720,Retired Police Officer,33-3051,B,Baby Boomer
29,2,Mitchell Olson,0.39,0.99,0.4,0,2,4,21,3,0.6,2.33,1,0,7,0,1,2.73,12,13,1,1,0.67,0.33,2.73,0,0,0,0,0,0,#DIV/0!,3,2,4,1,7,3,0.429,0,0,0,3,1,0,0,M,10/23/2000,23,Union City,NJ,69156,Singer/Songwriter,27-2042,N,X
28,2,Kimmi Kappenberg,0.57,1.33,0.43,1,1,6,15,2,0.3,1.4,1,0,7,0,0.73,1.97,15,12,1,1,0.5,0.5,1.97,0,0,0,0,0,0,#DIV/0!,4,1,5,3,9,4,0.444,0,0,0,2,1,0,0,F,10/23/2000,28,Ronkonkoma,NY,19082,Bartender,35-3011,B,X
